name,file_extension,CREATION_DATETIME,Number_of_pages,file_size,content,category_name
MENU DU JOUR,pdf,2022-03-18 09:38:56,8,2202376,"Borne Tactile 43 pouces Dans le Hall d’Accueil de  l’établissement à  destination des résidents,  des proches du personnel  et des visiteurs. ", RESIDANCE EMERAUDE 
MENU,pdf,2023-06-29 12:43:13,10,3128914,"Vous la demandiez, nous l’avons faite.  A2Display vous propose une  solution complète accessible sans connaissance en informatique.  Un univers totalement personnalisable  qui s’adapte à la charte graphique de chacun de nos clients. Dynamic Silver permet de gérer l’ensemble de votre communication et affichages.  Nous travaillons auprès des  établissements de santé tels que ; ehpad, foyer logement, association, fondation, groupe de résidence, APEI... DYNAMIC SILVER, Le digital pour une meilleure autonomie L’affichage dynamique, Une innovation au service du lien social Grâce à ses différentes fonctionnalités Dynamic Silver est susceptible  d’améliorer le bien-être, le confort et l’autonomie des personnes âgées, de  soulager le personnel ou faciliter leur travail.   Elle favorise la communication avec la famille et le personnel de  l’établissement.  Nos solutions sont conformes à la norme RGAA. Contactez-nous 09 84 31 11 94 www.a2display.frcontact@a2display.fr Digitalisez l’ensemble de vos informations pour une édition rapide et en temps  réel. La solution est modulable et s’adapte à vos besoins.  Elle s’adapte automatiquement àtout type d’affichage numérique :Borne,  pupitre, écran tactile ou non tactile, ordinateur, tablette,smartphone etc ...  Intérieur etextérieur. Les résidents : La famille : Le personnel : ils ont un accès continu à l’information de la résidence, date,  météo, éphéméride, menu, animations, programmes, photos & vidéos, site  internet et réseaux sociaux lorsqu’ils le souhaitent.  De plus cela leur permet d’écouter de la musique, la radio, de participer aux karaokés, aux jeux (loto, quizz mémoire...)   à l’aide du QR Code et de l’application mobile ils peuvent accéder  aux affichages sur leur smartphone et se tenir au courant de la vie quotidienne de leur proche et de la résidence.   grâce à la digitalisation des informations ils peuvent accéder à  la communication interne avec le programme et les plannings de visite. Un digicode est disponible pour protéger les informations confidentielles ou toute la partie concernant le personnel.Gain de temps DYNAMIC SILVER, Le digital pour une meilleure autonomie Contactez-nous 09 84 31 11 94 www.a2display.frcontact@a2display.fr ",1 EHPAD AUGE COLIN
Visuel écrans,pdf,2023-06-29 12:43:13,8,2202376,"Borne Tactile 43 pouces Dans le Hall d’Accueil de  l’établissement à  destination des résidents,  des proches du personnel  et des visiteurs. ",1 EHPAD AUGE COLIN
MENU,pdf,2023-03-24 10:49:49,1,441314,"TailleDimensions du produitPoids netZone d'affichageRésolutionPoint de contactAngle du vueContrasteLuminositéContrôle de luminositéTemps de réponseVerre trempéWindowsProcesseurStockageMémoireUSBWiFiHaut-parleurs Stéréo intégrésEntrée d'alimentationMatière du boîtierCouleur du boîtierTempérature de stockageTempérature de fonctionnementEnviron 65KG 4GB DDR31800(H)*635(W)*45(D)mm650(W)*450(D)mm 128G SSDAC100 – 220VHaute performance WIFI 802.11b/g/nIntel l3 dernière génération (0℃-- +50℃)10 contacts simultanés possibleLa luminosité s'adapte automatiquement en fonction de la lumière ambiante350cd/m²8ms1000:1 (0℃-- +50℃)Windows 10 2x5 watts43""Plateau roulettes940(H) x 530 (V)mm  MétalNoirVerre trempé anti-reflet AR1920*1080 RGB 2*USB 3.0, 8*USB2.0 (6*SUB 2.0 need to extend)89/89/89/89 Testez-moi Plateau sur roulettesConnexion réseauLaborneestlivréesurroulettescequipermetdeladéplacerfacilementdanslesdifférentsespaces.L’écranestconnectéàinternet,viaréseaufilaire(RJ45),enwifiouavecl’option3G/4G. PC Player intégréÉcran Affichage Dynamique Interactif Intérieur43’ Exemple d’implémentation d’une borne à destination des établissements pour personnes âgées MusiquePhotoVidéo Visite virtuelle 360° PMR Documents officiels HeureMétéoCalendrierÉphéméride Site internetRéseaux sociauxFlux RSS QR CodeAccès smartphone et tablette, flashez-le Visio",1 LE GIROUARDIERE
Visuel écrans,pdf,2023-03-24 10:50:34,8,2202376,"Borne Tactile 43 pouces Dans le Hall d’Accueil de  l’établissement à  destination des résidents,  des proches du personnel  et des visiteurs. ",1 LE GIROUARDIERE
Visuel écrans,pdf,2023-06-26 12:25:32,8,2202376,"Borne Tactile 43 pouces Dans le Hall d’Accueil de  l’établissement à  destination des résidents,  des proches du personnel  et des visiteurs. ",1 Résidence Helene Couttet 
MENU,pdf,2023-06-26 12:25:32,10,3128914,"Vous la demandiez, nous l’avons faite.  A2Display vous propose une  solution complète accessible sans connaissance en informatique.  Un univers totalement personnalisable  qui s’adapte à la charte graphique de chacun de nos clients. Dynamic Silver permet de gérer l’ensemble de votre communication et affichages.  Nous travaillons auprès des  établissements de santé tels que ; ehpad, foyer logement, association, fondation, groupe de résidence, APEI... DYNAMIC SILVER, Le digital pour une meilleure autonomie L’affichage dynamique, Une innovation au service du lien social Grâce à ses différentes fonctionnalités Dynamic Silver est susceptible  d’améliorer le bien-être, le confort et l’autonomie des personnes âgées, de  soulager le personnel ou faciliter leur travail.   Elle favorise la communication avec la famille et le personnel de  l’établissement.  Nos solutions sont conformes à la norme RGAA. Contactez-nous 09 84 31 11 94 www.a2display.frcontact@a2display.fr Digitalisez l’ensemble de vos informations pour une édition rapide et en temps  réel. La solution est modulable et s’adapte à vos besoins.  Elle s’adapte automatiquement àtout type d’affichage numérique :Borne,  pupitre, écran tactile ou non tactile, ordinateur, tablette,smartphone etc ...  Intérieur etextérieur. Les résidents : La famille : Le personnel : ils ont un accès continu à l’information de la résidence, date,  météo, éphéméride, menu, animations, programmes, photos & vidéos, site  internet et réseaux sociaux lorsqu’ils le souhaitent.  De plus cela leur permet d’écouter de la musique, la radio, de participer aux karaokés, aux jeux (loto, quizz mémoire...)   à l’aide du QR Code et de l’application mobile ils peuvent accéder  aux affichages sur leur smartphone et se tenir au courant de la vie quotidienne de leur proche et de la résidence.   grâce à la digitalisation des informations ils peuvent accéder à  la communication interne avec le programme et les plannings de visite. Un digicode est disponible pour protéger les informations confidentielles ou toute la partie concernant le personnel.Gain de temps DYNAMIC SILVER, Le digital pour une meilleure autonomie Contactez-nous 09 84 31 11 94 www.a2display.frcontact@a2display.fr ",1 Résidence Helene Couttet 
menu,pdf,2023-07-05 12:48:35,8,2202376,"Borne Tactile 43 pouces Dans le Hall d’Accueil de  l’établissement à  destination des résidents,  des proches du personnel  et des visiteurs. ",1_ RESIDENCE NOTRE DAME MISERICORDE
A2Display - Dynamic Silver 2023,pdf,2023-07-05 12:48:35,10,3128914,"Vous la demandiez, nous l’avons faite.  A2Display vous propose une  solution complète accessible sans connaissance en informatique.  Un univers totalement personnalisable  qui s’adapte à la charte graphique de chacun de nos clients. Dynamic Silver permet de gérer l’ensemble de votre communication et affichages.  Nous travaillons auprès des  établissements de santé tels que ; ehpad, foyer logement, association, fondation, groupe de résidence, APEI... DYNAMIC SILVER, Le digital pour une meilleure autonomie L’affichage dynamique, Une innovation au service du lien social Grâce à ses différentes fonctionnalités Dynamic Silver est susceptible  d’améliorer le bien-être, le confort et l’autonomie des personnes âgées, de  soulager le personnel ou faciliter leur travail.   Elle favorise la communication avec la famille et le personnel de  l’établissement.  Nos solutions sont conformes à la norme RGAA. Contactez-nous 09 84 31 11 94 www.a2display.frcontact@a2display.fr Digitalisez l’ensemble de vos informations pour une édition rapide et en temps  réel. La solution est modulable et s’adapte à vos besoins.  Elle s’adapte automatiquement àtout type d’affichage numérique :Borne,  pupitre, écran tactile ou non tactile, ordinateur, tablette,smartphone etc ...  Intérieur etextérieur. Les résidents : La famille : Le personnel : ils ont un accès continu à l’information de la résidence, date,  météo, éphéméride, menu, animations, programmes, photos & vidéos, site  internet et réseaux sociaux lorsqu’ils le souhaitent.  De plus cela leur permet d’écouter de la musique, la radio, de participer aux karaokés, aux jeux (loto, quizz mémoire...)   à l’aide du QR Code et de l’application mobile ils peuvent accéder  aux affichages sur leur smartphone et se tenir au courant de la vie quotidienne de leur proche et de la résidence.   grâce à la digitalisation des informations ils peuvent accéder à  la communication interne avec le programme et les plannings de visite. Un digicode est disponible pour protéger les informations confidentielles ou toute la partie concernant le personnel.Gain de temps DYNAMIC SILVER, Le digital pour une meilleure autonomie Contactez-nous 09 84 31 11 94 www.a2display.frcontact@a2display.fr ",1_ RESIDENCE NOTRE DAME MISERICORDE
Visuel écrans 2021,pdf,2022-04-21 14:52:53,8,2202376,"Borne Tactile 43 pouces Dans le Hall d’Accueil de  l’établissement à  destination des résidents,  des proches du personnel  et des visiteurs. ",abbatiele
Réouverture de l'accueil ,pdf,2020-06-18 12:13:42,1,411035,"  BIEN CHEZ NOUS, le 03  Juin 2020         INFORMATION       Objet  : Réouverture de l ’accueil de jour « La Violette  »      Mesdames, Messieurs,     Dans le respect  des mesures sanitaires qui sont définies par les recommandations de la DGCS, la  réouverture de l ’accueil  de jour est prévue en perspective à compter  de la semaine du 15 Juin.     L’équipe de la Violette réintègrera  progressivement les lieux afin d ’organiser et préparer l ’arrivée des  personnes dans le respect de s mesures barrières contre le CO VID19.     En fonction des besoins de préparation et des entretiens  avec les familles, les effectifs  de la Violette  recommenceront à intervenir sur les lieux dès le 8 Juin .         La Direction   ","Accueil de jour "" La Violette"""
Descriptif ateliers,pdf,2021-05-31 17:00:01,5,159523,"  Liste des activités réalisées au PASA:    Ateliers lecture du journal et «  vite lu  »   Atelier gymnastique douce    Ateliers activités manuelles et créative s   Ateliers mémoire    Ateliers jardinage    Sorties en mini -bus   Ateliers chants et découvertes des instruments de musique    Jeux collectifs    Activités de la vie quotidienne    Ateliers bien -être et relaxation       Atelier s Lecture du journal et «  vite lu  »  Lieu : salle d’activité   Durée  : 40 à 45 minutes   Intervenants  : 1 ASG   Fréquence  : tous les matins     Objectifs  :   Fournir des repères dans l’espace et le temps    Se tenir informé( e )  de l’actualité à l’extérieur de la résidence    Stimuler les capacités cognitives (langage, mémoire et raisonnement) à travers les échanges  d’idées, des débats,    Favoriser le lien social p ar le biais d’un sentiment d’appartenance à un groupe.              Atelier s gymnastique douce     Lieu : Salle d’activités   Durée  : 45 minutes   Intervenants  : deux ASG   Fréquence  : une fois tous les 15 jours en alternance avec l’atelier équilibre de l’ergothérapeute     Objectifs  :   Maintenir les acquis    Favoriser les capacités fonctionnelles    Comprendre les consignes    Préserver les échanges avec autrui     Ateliers activités manuelles et cr éatives   Contenu  : Mandala, atelier écriture, ateliers manuels et art floral     Lieu : salle de repos ou salle d’activités   Durée  : 30 à 45 minutes   Intervenants  : 1 ASG   Fréquence  : une fois par semaine     Objectifs  :   Développer et favoriser leur créativité et l’imagination    Revaloriser par le travail effectué  notamment en l’exposant    Travailler l’attention, la concentration    Favoriser le lien social entre les résidants    Apaiser l’anxiété    Trouver une autre façon de communiquer  ",Activités
Mag CCVHA N°2 Vallées du Haut Anjou,pdf,2019-07-25 15:41:40,12,1388633,"InnovNum, un programme inclusif > page 5Une activité économique  dynamique et renouvelée > page 8Rendez-vous avec… Virginie Guichard > page 9LES ACTUS DE VOTRE COMMUNAUTÉ DE COMMUNES LES ACTUS DE VOTRE   COMMUNAUTÉ DE COMMUNES LES ACTUS DE VOTRE COMMUNAUTÉ     DE COMMUNES LES ACTUS DE VOTRE COMMUNAUTÉ DE COMMUNES N°2 JUIN 2019 www.valleesduhautanjou.fr  GRAND ANGLE  Un équipement d’avenir    > page 6  SOMMAIRE INFOS PRATIQUESACTUALITÉS GRAND  ANGLEVIE DES COMMUNESSORTIR RETOUR SUR… > PAGE 6 > PAGE 8 > PAGE 10 > PAGE 12 > PAGE 4  SIÈGE SOCIAL l Place Charles de Gaulle 49220 Le Lion d’Angers Tél. 02 41 95 31 74 contact@valleesduhautanjou.fr www.valleesduhautanjou.fr Facebook @valleesduhautanjou Instagram «valleesduhautanjou» OUVERTURE  du lundi au vendredi de 9 h à 12 h et de 13 h 30 à 17 h  PÔLES TERRITORIAUX l BÉCON-LES-GRANITS 10, rue de Cholet CHÂTEAUNEUF-SUR-SARTHE (LES HAUTS-D’ANJOU) 2, rue des FontainesVALLÉES DU HAUT-ANJOU   l   N°2 Edité par la Communauté de communes  des Vallées du Haut-Anjou Directeur de la publication :  Etienne Glémot, Président Rédactrice en chef :  Marie-Françoise Bellier-Pottier, Vice-présidente déléguée à la communication Comité de rédaction :  Commission communication  et service communication Conception et mise en page : A4 éditions   Impression :  Loire Impression (labellisée Imprim’Vert, certifiée PEFC et marque EnVol) Distribution : Adrexo  Dépôt dans les lieux publics : AIDES Tirage :  17 000 exemplaires imprimés sur papier 100% recyclé avec encres végétales Dépôt légal : ISSN 2650-1856  Tous droits réservés Le bulletin des Vallées du Haut-Anjou est distribué  dans toutes les boîtes aux lettres, y compris Stop Pub  (3 numéros par an tous les 4 mois). Si toutefois vous ne  le receviez pas, merci de nous le signaler en adressant  un e-mail à communication@valleesduhautanjou.fr en  indiquant vos nom, prénom et adresse complète.",Activitiés Plaine Nature 100% Anjou Bleu
pirmilø5304,pdf,2019-07-22 15:14:43,1,70014,"CENTRE  COMMUNAL D’ACTION SOCIALE DEMS Résidence Autonomie de PIRMIL Nantes,  jeudi 25/04/2019 Invitation  Objet  de la réunion : Conseil de Vie Sociale  N°1 de la Résidence Autonomie de PIRMIL Date : Vendredi 10 MAI  à 10h00 Lieu : Lieu de vie de la résidence - 6  rue Laurent Bonnevay - Nantes Ordre du jour  - 1er CVS de la résidence  :   . Présentation du CVS  : membres (titulaires et suppléants) et  fonctionnement  . Approbation du règlement intérieur  . Election du president du CVS - Vie collective Quartier  . Stationnement dans le quartier Pirmil  . Containers extérieurs, déchets ménagers, encombrants     - Vie collective Résidence  . Bilan depuis l’installation  . Electricité dans les couloirs  . Demandes diverses - Activités de lien social  . Activités actuelles    . Projets / demandes Liste des personnes invitées Fonction LEBRETON Marguerite Représentante  titulaire des résidents ORHANT Anne Représentante  titulaire des résidents PERRODEAU Jacques Représentant titulaire des résidents  AUDUBERT Catherine Représentante suppléante des résidents  YOU Alexandrine Représentante suppléante des résidents  POIRAUD Paul Représentant suppléant des résidents  MICHEL Martine Représentante titulaire des familles  GEFFARD Bernard Représentant titulaire des familles  YOU Genevieve Représentante suppléante des familles  GRENAPIN Mariana Représentante du Personnel CHARRON Michel Représentant du Personnel BENATRE Marie Annick Adjointe au Maire en charge de la santé, la précarité et de la  grande pauvreté  BIOTEAU Valérie Directrice du Pôle des Etablissements Médico-Sociaux  PELTIER-CHAUVEAU Corinne Responsable des Résidences autonomie CHASSETEAU Valérie Responsable de la Résidence Autonomie de PIRMIL Merci de confirmer votre présence (si ce n’est pas déjà fait) au 02.40.34.28.86 ou au 02.40.34.12.63 ",Actualités résidence
pirmilø2863,pdf,2019-07-22 15:18:38,1,47710,"RESIDENCE ""PIRMIL"" Résultat des Elections du 21/2/2019  des Représentants  au Conseil de la Vie Sociale Représentants Titulaires des résidents  : Mme ORHANT Anne Mme LEBRETON Marguerite Mr PERRODEAU Jacques Représentants Titulaires des familles  :  Mme MICHEL Martine Mr GEFFARD Bernard Représentants du personnel  :  Mme GRENAPIN Mariana Mr CHARRON Michel",Actualités résidence
